"n","sd","mean"
100,42027.6710531283,85952.5466085604
200,28775.9756935556,101985.259891642
300,27359.6918629754,104620.355610536
400,28367.7463269644,114430.399497112
500,27920.4450877858,113566.138494351
600,18685.4888870972,114503.037507494
700,35450.110410065,129592.232062847
800,23737.9307231652,115871.533655119
900,19949.7751495688,115023.530791915
1000,16612.4608274298,112231.420703013
2000,8983.23419507785,111371.974271415
3000,9138.18708792196,114572.416577751
4000,6949.5515767756,113807.679519215
5000,10813.198326601,114488.248695765
6000,7832.23815107708,114400.585120303
7000,5649.60264754423,113062.855780173
8000,6905.30938911067,113273.103136845
9000,6905.28023985913,116070.253412124
10000,5705.67900237014,113114.296395609
30000,4538.79042383704,114464.139615827
50000,2186.92132436788,115075.978825937
70000,1857.04174102512,115783.847782047
90000,1026.05384131508,115351.989372059
110000,1456.45682651931,115199.901947713
130000,937.123488067395,115605.605233193
