"id","whiteh","whitel","blackh","blackl","otherh","otherl","hisph","hispl","pop"
"01001020100",1432,129,104,28,54,30,0,0,1777
"01001020200",532,167,1222,165,106,6,49,0,2247
"01001020300",2146,178,380,172,70,69,55,0,3070
"01001020400",3795,128,130,0,348,2,303,0,4706
"01001020500",8028,391,1299,446,562,0,167,0,10893
"01001020600",2507,378,255,175,48,45,130,111,3649
"01001020700",1960,259,182,292,51,0,45,0,2789
"01001020801",2417,534,158,117,63,21,9,269,3588
"01001020802",7945,1065,846,130,162,17,78,77,10320
"01001020900",4704,533,479,45,67,0,30,14,5872
"01001021000",2401,22,637,312,18,0,26,0,3416
"01001021100",992,118,1734,641,70,0,0,0,3555
"01003010100",2166,370,691,68,112,0,0,0,3407
"01003010200",1777,608,157,104,107,27,55,0,2835
"01003010300",5278,262,644,287,123,0,26,0,6620
"01003010400",3929,470,138,38,108,110,19,110,4922
"01003010500",3457,397,97,258,122,0,0,0,4331
"01003010600",964,89,1469,812,0,0,79,0,3413
"01003010701",6904,398,215,5,390,7,402,0,8321
"01003010703",13243,392,447,147,306,111,568,0,15214
"01003010704",4505,87,287,0,36,65,239,12,5231
"01003010705",6079,1052,1111,42,354,0,250,14,8902
"01003010800",5208,331,1323,827,18,0,24,0,7731
"01003010903",3880,496,252,242,36,178,264,65,5413
"01003010904",5602,608,110,81,107,234,126,0,6868
"01003010905",5926,416,450,117,362,84,565,78,7998
"01003010906",3901,396,49,3,184,0,75,0,4608
"01003011000",2623,1182,127,3,66,17,72,97,4187
"01003011101",7892,817,64,175,214,122,304,46,9634
"01003011102",3545,454,53,0,89,19,108,0,4268
"01003011201",3638,273,149,44,174,12,22,12,4324
"01003011202",3643,185,690,273,132,81,109,4,5117
"01003011300",3516,597,135,121,27,0,24,210,4630
"01003011401",7734,1151,1225,65,275,0,419,350,11219
"01003011403",7380,513,118,28,285,596,434,611,9965
"01003011405",3318,201,5,2,229,0,156,0,3911
"01003011406",2892,335,0,0,60,229,240,0,3756
"01003011407",3629,1179,0,0,243,44,37,9,5141
"01003011408",737,0,0,0,0,0,0,0,737
"01003011501",4360,776,67,522,71,0,126,259,6181
"01003011502",5789,1166,610,1901,560,261,616,127,11030
"01003011601",5063,1238,30,12,172,178,505,303,7501
"01003011602",4365,683,196,0,159,78,111,5,5597
"01003990000",0,0,0,0,0,0,0,0,0
"01005950100",1330,131,1297,429,45,181,0,181,3594
"01005950200",788,46,1171,923,20,0,28,0,2976
"01005950300",496,164,396,509,14,54,12,54,1699
"01005950400",1535,166,602,184,281,60,305,114,3247
"01005950500",1815,550,439,319,306,88,148,26,3691
"01005950600",1047,222,297,322,50,131,40,131,2240
"01005950700",635,9,663,410,0,0,6,0,1723
"01005950800",1299,81,616,152,23,0,135,9,2315
"01005950900",1397,50,1188,1269,167,62,106,0,4239
"01007010001",2233,428,157,23,160,0,139,0,3140
"01007010002",4570,1155,126,65,20,16,187,93,6232
"01007010003",3560,261,763,421,61,18,0,0,5084
"01007010004",4306,568,1630,943,7,0,0,0,7454
"01009050101",5906,1181,73,158,256,16,978,373,8941
"01009050102",4881,1211,207,41,304,17,973,467,8101
"01009050200",2970,475,1,5,283,0,492,90,4316
"01009050300",4248,856,9,0,130,146,501,157,6047
"01009050400",3322,1260,0,0,165,18,93,81,4939
"01009050500",5183,1120,56,109,94,43,178,134,6917
"01009050601",3482,576,0,8,136,0,0,21,4223
"01009050602",8539,775,31,18,57,21,104,5,9550
"01009050700",7504,948,9,6,198,15,153,0,8833
"01011952100",78,0,1177,223,6,0,0,0,1484
"01011952200",1169,322,3055,880,61,0,404,201,6092
"01011952500",1216,41,1263,745,5,0,0,0,3270
"01013952700",1056,291,429,443,42,0,0,0,2261
"01013952800",1136,115,259,43,0,0,0,0,1553
"01013952900",857,84,692,413,64,0,93,0,2203
"01013953000",701,102,311,221,25,0,0,0,1360
"01013953100",586,86,1299,968,0,34,59,0,3032
"01013953200",2100,215,965,621,76,6,33,16,4032
"01013953300",1211,399,293,0,9,0,0,0,1912
"01013953400",573,422,768,799,9,7,0,0,2578
"01013953500",806,400,247,99,20,8,0,19,1599
"01015000200",1109,425,1183,818,152,19,15,0,3721
"01015000300",264,99,1131,853,0,0,37,0,2384
"01015000400",502,442,1424,414,14,40,30,0,2866
"01015000500",108,34,573,1100,0,7,0,57,1879
"01015000600",241,155,415,787,0,0,39,0,1637
"01015000700",1109,343,931,628,200,19,100,44,3374
"01015000800",407,120,519,202,0,0,1,2,1251
"01015000900",2439,140,551,89,113,0,25,0,3357
"01015001000",3668,295,1145,284,88,113,152,19,5764
"01015001100",5000,476,584,215,337,44,552,0,7208
"01015001201",1905,66,489,575,78,84,168,17,3382
"01015001202",2571,344,366,11,91,191,24,191,3789
"01015001300",1671,680,26,0,131,19,18,19,2564
"01015001400",2096,345,664,193,0,12,30,12,3352
"01015001500",3850,422,121,144,287,217,239,217,5497
"01015001600",2107,696,198,123,135,126,96,89,3570
"01015001700",3779,360,1399,182,696,9,450,0,6875
"01015001800",4095,1195,579,238,182,145,140,0,6574
"01015002000",5346,1129,18,341,251,27,213,282,7607
"01015002101",696,679,272,799,48,21,0,13,2528
