FIPS,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More races
Geo_FIPS,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008
1001,54590,43084,9880,169,439,0,212,806
1003,183226,158259,17016,1038,1347,4,2645,2917
1005,27469,13448,12645,25,212,0,570,569
1007,22769,17459,4953,80,25,0,9,243
1009,57466,54507,754,230,97,0,1019,859
1011,10779,3028,7609,24,0,35,0,83
1013,20730,11380,8961,36,183,0,22,148
1015,117834,88405,24421,318,827,84,1700,2079
1017,34228,20171,13409,17,178,16,47,390
1019,25917,24074,1253,163,78,5,74,270
1021,43611,37872,4314,160,97,0,835,333
1023,13838,7670,5935,0,30,0,27,176
1025,25768,14015,11310,122,94,0,47,180
1027,13828,11332,2157,25,0,0,118,196
1029,14905,14122,573,30,0,0,19,161
1031,49966,38651,8663,440,654,0,305,1253
1033,54451,43915,8730,300,233,8,421,844
1035,13188,6794,6130,72,12,0,0,180
1037,11305,7647,3558,7,0,0,9,84
1039,37803,32054,4754,203,116,35,155,486
1041,13971,10142,3099,74,213,0,79,364
1043,80403,77178,869,333,371,32,459,1161
1045,50129,37588,9834,159,662,74,380,1432
1047,43572,12738,30057,68,150,8,190,361
1049,70949,64778,1236,1019,209,5,2156,1546
1051,79330,60119,16036,327,452,0,1123,1273
1053,38122,24024,12280,1418,142,15,12,231
1055,104317,85430,15745,354,696,46,459,1587
1057,17219,14921,1942,38,58,0,0,260
1059,31664,28001,1469,157,64,0,1650,323
1061,26769,23239,2632,87,30,0,410,371
1063,9067,1608,7421,25,13,0,0,0
1065,15750,6292,9327,32,48,14,0,37
1067,17275,11888,4812,0,349,0,138,88
1069,101459,71132,26052,300,865,18,1302,1790
1071,53279,49024,1770,1037,198,20,196,1034
1073,658464,351974,277856,1238,9745,87,12042,5522
1075,14513,12655,1728,4,3,0,9,114
1077,92528,80665,9372,430,697,0,400,964
1079,34148,26490,3803,1892,49,0,231,1683
1081,140938,101299,32324,501,3834,67,924,1989
1083,83313,68300,10670,431,928,3,1722,1259
1085,11304,2874,8365,23,0,0,20,22
1087,21214,3365,17635,42,0,0,25,147
1089,334661,232397,80303,2262,8084,303,2623,8689
1091,20909,9688,10926,13,39,0,128,115
1093,30641,28907,1189,48,121,0,37,339
1095,93070,87176,1498,696,504,61,1809,1326
1097,412297,250617,143332,3443,7742,43,2016,5104
1099,22993,12748,9534,288,82,0,94,247
1101,229376,93483,125397,891,4679,59,1829,3038
1103,119330,98477,14197,1185,753,115,2347,2256
1105,10525,3185,7223,0,31,0,10,76
1107,19646,11249,8168,16,4,0,12,197
1109,32750,19268,11915,258,616,0,46,647
1111,22843,17656,4758,96,16,0,49,268
1113,53938,29342,22756,40,240,51,369,1140
1115,83530,74235,7415,406,519,19,244,692
1117,195237,162400,21002,639,4044,24,5129,1999
1119,13669,3327,10132,12,94,0,58,46
1121,82194,53935,26762,252,123,0,254,868
1123,41534,29403,11347,52,19,0,246,467
1125,194254,130821,58198,482,2499,7,701,1546
1127,67016,61305,3672,154,166,0,391,1328
1129,17407,11389,4263,1364,107,40,58,186
1131,11706,3132,8555,0,0,0,4,15
1133,24432,23567,196,121,43,0,70,435
2013,3114,721,417,570,1258,19,34,95
2016,5507,1860,326,837,1561,114,439,370
2020,291470,194690,16770,19326,23312,5824,4302,27246
2050,17184,2007,49,14031,181,65,0,851
2060,929,507,2,288,3,5,2,122
2068,1917,1677,20,75,60,0,3,82
2070,4887,888,19,3381,38,21,57,483
2090,97523,75945,4482,6458,2460,396,1007,6775
2100,2500,2053,8,183,26,0,0,230
2105,2153,1041,5,767,25,8,20,287
2110,31636,22095,215,3560,1743,248,320,3455
2122,55474,47050,322,4453,783,37,252,2577
2130,13525,9154,58,1824,811,10,149,1519
2150,13710,7799,105,2123,2733,108,274,568
2164,1551,431,7,987,28,4,1,93
2170,89319,76133,907,4273,1148,202,416,6240
2180,9580,1597,126,6884,83,31,16,843
2185,9317,3010,46,4929,413,124,105,690
2188,7601,868,30,6146,51,8,1,497
2195,3822,2754,50,470,84,0,88,376
2198,5603,2791,12,2311,44,20,27,398
2220,8909,5869,70,1544,468,2,121,835
2230,1050,799,3,17,177,0,0,54
2240,7039,5694,107,735,62,26,51,364
2261,9614,7090,28,1454,346,31,126,539
2270,7556,235,8,6843,8,23,0,439
2275,2368,1744,13,335,36,10,2,228
2282,644,248,8,283,4,5,5,91
2290,5637,1235,6,3889,22,22,18,445
4001,71618,17177,207,52153,251,71,682,1077
4003,131118,105267,5164,1454,2286,362,9691,6894
4005,134011,83919,1774,36501,1955,138,5737,3987
4007,53436,42288,238,7831,140,26,1687,1226
4009,37115,27973,776,5044,176,112,2105,929
4011,8592,7410,84,177,51,0,631,239
4012,20460,14643,181,2621,135,14,2644,222
4013,3841819,3114615,192883,71329,133497,7964,218094,103437
4015,201216,179349,2019,3062,2066,297,6177,8246
4017,107415,52280,916,45544,530,104,4313,3728
4019,981048,778258,35850,31265,26302,1273,79703,28397
4021,368374,284721,16664,19809,6126,1681,28697,10676
4023,47057,34441,262,134,272,34,10871,1043
4025,211280,193691,1182,4176,1612,82,5257,5280
4027,196420,149922,4084,2705,2199,348,32562,4600
5001,19029,13791,4656,27,123,11,211,210
5003,21811,15143,5613,49,28,0,667,311
5005,41387,40189,123,231,204,7,120,513
5007,222028,191672,2557,3325,6353,591,11348,6182
5009,37032,35767,114,240,193,0,81,637
5011,11510,7005,3193,118,0,0,1106,88
5013,5373,3972,1307,0,0,0,2,92
5015,27321,25062,46,227,102,0,1238,646
5017,11759,4875,6404,6,24,0,358,92
5019,23050,16982,5494,85,135,0,71,283
5021,15981,15623,38,52,7,0,66,195
5023,25849,25198,102,82,19,13,15,420
5025,8685,7469,1043,0,0,0,40,133
5027,24644,14864,9072,48,206,4,37,413
5029,21203,18103,2490,153,36,0,105,316
5031,96709,80792,12750,318,1215,27,272,1335
5033,61670,56227,859,811,928,0,817,2028
5035,50618,23299,25831,35,87,62,576,728
5037,17891,13350,4123,47,110,0,17,244
5039,8122,4504,3495,6,41,0,76,0
5041,12922,6203,6201,37,0,0,361,120
5043,18615,12943,5271,12,112,0,84,193
5045,113730,97018,11872,499,1541,35,706,2059
5047,18110,17262,156,126,55,0,29,482
5049,12301,11946,36,41,105,0,0,173
5051,96249,82114,8043,599,844,14,3074,1561
5053,17852,17058,364,43,91,0,108,188
5055,42224,40966,279,170,32,0,195,582
5057,22548,14623,6811,40,5,0,651,418
5059,33011,28582,3602,120,24,0,76,607
5061,13790,9609,2943,152,42,0,989,55
5063,36572,34681,996,237,34,18,176,430
5065,13614,13053,163,24,27,49,17,281
5067,17885,14355,2945,77,40,6,113,349
5069,76836,32332,42307,101,638,75,472,911
5071,25554,24127,413,174,74,79,175,512
5073,7618,4683,2846,11,0,6,0,72
5075,17314,16894,114,32,0,0,9,265
5077,10430,4408,5888,34,0,0,94,6
5079,14167,9410,4182,27,0,0,290,258
5081,13068,9722,2863,70,0,0,106,307
5083,22352,20969,308,234,407,0,111,323
5085,68274,61297,4248,478,451,0,672,1128
5087,15674,14975,27,80,81,0,158,353
5089,16712,16183,39,72,51,0,79,288
5091,43449,31577,10581,158,264,0,163,706
5093,46388,29435,15855,78,170,9,156,685
