"block","concentration","area"
"01001020100",555.102016276156,15.006858
"01001020200",647.164077626575,5.100122
"01001020300",690.02128820213,8.166821
"01001020400",715.770494389658,9.752457
"01001020500",749.490204013698,17.446002
"01001020600",1332.46382504158,12.316154
"01001020700",1680.60607688036,35.345476
"01001020801",1146.6440786023,201.792332
"01001020802",357.090646693355,291.860807
"01001020900",231.36277077842,446.997337
"01001021000",234.019743406246,592.048979
"01001021100",561.495579308753,750.020289
"01003010100",2487.47826412545,1537.989052
"01003010200",1103.80267462178,338.515888
"01003010300",2241.22544314608,559.219831
"01003010400",409.74528686829,1129.51208
"01003010500",1585.97704315083,26.877714
"01003010600",1651.79642211639,28.329436
"01003010701",2823.73068863704,247.952765
"01003010703",1522.72791400288,220.891316
"01003010704",1824.44748570814,13.135539
"01003010705",2529.20989645189,66.661614
"01003010800",2414.14939086474,33.508435
"01003010903",1308.13439880803,85.138715
"01003010904",330.258164200761,426.361447
"01003010905",1273.56435940856,108.678295
"01003010906",985.122386173945,60.290128
"01003011000",903.949734712776,200.008153
"01003011101",1820.1719164563,51.11612
"01003011102",1793.8576223034,70.37275
"01003011201",2372.89276178338,20.779962
"01003011202",2669.00297216534,24.478659
"01003011300",1917.30716707307,119.405931
"01003011401",1145.78569483358,269.573488
"01003011403",156.887626922344,143.732526
"01003011405",90.764365017644,54.742785
"01003011406",53.8464356225157,65.630717
"01003011407",523.238294089248,87.38677
"01003011408",1757.22216180435,77.109555
"01003011501",2547.99028971986,58.987209
"01003011502",585.926418253922,79.80855
"01003011601",159.404531959344,376.000918
"01003011602",105.441411099515,177.98989
"01003990000",2146.52116660153,1242.729101
"01005950100",97.9400595222213,783.906054
"01005950200",44.3122133568861,789.497335
"01005950300",84.0491253652326,538.507479
"01005950400",219.576177723139,523.85878
"01005950500",20.5945038593035,523.842176
"01005950600",53.9097064875312,156.67882
"01005950700",52.1338177376884,194.049352
"01005950800",74.8699609955447,22.879059
"01005950900",137.263328267366,37.403692
"01007010001",383.636055133237,361.877044
"01007010002",715.665197894297,277.53622
"01007010003",98.7543191426326,1060.472587
"01007010004",43.8523042251079,771.946699
"01009050101",4593.43801330142,339.426985
"01009050102",5683.6046996476,282.895441
"01009050200",8521.89701754006,179.435225
"01009050300",5016.10385320503,289.670569
"01009050400",5834.46449004612,376.064635
"01009050500",14684.7554864361,381.380281
"01009050601",7699.49298389495,128.321
"01009050602",10751.5726134128,279.165229
"01009050700",7582.64280496882,312.021697
"01011952100",71.2476586025577,625.378995
"01011952200",62.9067577282499,530.605608
"01011952500",144.649664281854,1203.796674
"01013952700",25.1873833802205,204.140796
"01013952800",0.231148847644266,5.264534
"01013952900",0.163790748654539,87.572082
"01013953000",3.69445264821919,673.297397
"01013953100",0.244444571424158,49.546795
"01013953200",27.4424134879218,731.778262
"01013953300",0.604801222506318,537.125496
"01013953400",1.22981269914659,378.681933
"01013953500",1.73645930264444,403.320895
"01015000200",76824.681649794,10.361804
"01015000300",102663.033826801,4.06458
"01015000400",131306.830924996,15.460867
"01015000500",117622.006516241,3.571412
"01015000600",67167.4422679026,10.356742
"01015000700",59367.7413196202,69.96175
"01015000800",51093.5505617298,5.555596
"01015000900",34745.6933382246,18.503403
"01015001000",26383.0205355592,25.436901
"01015001100",16813.1326798747,76.59036
"01015001201",65156.5476436392,11.16722
"01015001202",54527.6199747932,35.933564
"01015001300",155811.409072884,8.878182
"01015001400",305446.685326189,32.447469
"01015001500",125516.512108911,83.498574
"01015001600",63542.9877891186,21.593195
"01015001700",39626.1092992706,28.614235
"01015001800",29622.1305237876,63.431111
"01015002000",25600.5064386026,368.381549
"01015002101",13166.5898512381,20.902396
"01015002102",16503.7441259332,31.455515
"01015002103",22701.877139885,38.58352
"01015002200",15347.0861490515,134.761442
"01015002300",10088.1369801693,135.670426
"01015002400",11145.8081853344,190.517163
"01015002501",11471.3862139406,149.433594
"01015002502",6219.6615950995,251.519218
"01015002600",12279.1094538748,281.290753
"01015981901",389597.873018878,96.3959219999999
"01015981902",21655.0769056994,137.703439
"01015981903",43451.4627093158,54.991423
"01017953800",4.36115142725748,803.798881
"01017953900",18.170346043638,153.478117
"01017954000",3.6194630380454,1034.28653
"01017954200",18.2602662034128,95.948821
"01017954300",55.2082298354397,202.845048
"01017954400",28.4323658797017,6.717544
"01017954500",22.4564606512992,10.591166
"01017954600",50.8814288473427,14.766822
"01017954700",83.8673656875666,58.382289
"01019955701",584.976969102925,206.820016
"01019955702",656.168355644135,550.612456
"01019955800",561.972606983578,406.898653
"01019955900",2477.87057341479,472.421034
"01019956000",524.703720846803,117.795247
"01019956100",594.067918066407,613.893594
"01021060101",91.0160047438401,85.518023
"01021060102",18.3206482637195,98.555958
"01021060200",31.7647224724073,155.319724
"01021060300",35.9354954239673,427.99197
"01021060401",25.4189069056194,139.656986
"01021060402",65.5148780577346,374.33179
"01021060500",76.4444377188793,689.681685
"01021060600",113.240103669642,397.972382
"01021060700",126.54109041556,397.427361
"01023956700",325.261400231124,886.542637
"01023956800",70.6430388227678,1158.092682
"01023956900",20.8948600163187,884.587497
"01023957000",9.10682973409913,705.917797
"01025957500",315.411779498581,379.632449
"01025957601",152.025064074917,746.448025
"01025957602",255.207553817641,294.930898
"01025957700",43.6598121444046,575.802286
"01025957800",365.873393866519,1276.619367
"01025957901",288.177744102134,577.830724
"01025957902",1826.59321501896,168.231287
"01025958001",538.188029140635,216.088692
"01025958002",1900.42171849933,709.014506
"01027958900",3665.19489150202,784.890348000001
"01027959000",2848.85571325826,275.457421
"01027959100",506.227352421788,585.033646
"01027959200",1065.25679624784,746.833843
"01029959500",9987.69837932209,749.90559
"01029959600",13500.4393464687,373.02102
"01029959700",5865.63975952451,639.386268
"01029959800",1609.02515182132,452.318684
"01031010100",164.040072518568,370.445336
"01031010200",116.450072919076,317.62448
"01031010300",673.160122486953,446.039501
"01031010400",69.9513508019411,321.31812
"01031010500",73.8964312830317,307.599787
"01031010600",4.94584213817386,196.124834
"01031010700",146.297731747206,326.686358
"01031010800",1155.11557846008,209.46093
"01031010900",1290.0364569563,30.878733
"01031011000",1185.12909815804,43.766656
"01031011100",1258.66172233864,5.019744
"01031011201",1170.35577441884,62.251939
"01031011202",1408.81312369492,19.097475
"01031011300",1590.99846011929,29.970904
"01033020100",1608.16090389065,6.936114
"01033020200",1548.36604820503,3.417819
"01033020300",1476.81089306081,7.985708
"01033020400",1419.93418854576,9.002919
"01033020500",1246.22837481561,36.919989
"01033020600",1225.22765702829,15.06732
"01033020701",2667.27684273274,180.224555
"01033020703",1956.29048380629,12.407505
"01033020704",1470.30268069372,11.090808
"01033020801",14466.1656609292,213.020257
"01033020802",8972.67226210975,329.70266
"01033020901",932.674257431496,203.545609
"01033020902",1973.51371890297,406.523805
"01033021000",8431.70596573381,1020.046215
"01035960200",81.1854481422284,860.699487999999
"01035960300",665.725450808333,597.927875
"01035960400",190.244528636417,736.583933
"01035960500",117.891990725676,139.167414
"01035960600",20.5962660287806,1031.780156
"01037961000",17.7762044166499,385.527585
"01037961100",17.357560410279,1231.965343
"01037961200",28.4764223655808,1012.951832
"01039961600",19.0776650377479,564.253269
"01039961700",21.5782968554089,774.850625
"01039961800",64.9832825538651,67.502886
"01039961900",54.6215124562132,63.877236
"01039962000",35.45919477866,77.003821
"01039962100",409.021464025069,23.779733
"01039962300",18.2441812601269,429.190587
"01039962400",16.1453066866266,239.500324
"01039962500",6.11270308638342,19.235431
"01039962600",7.76205827432637,18.439337
"01039962700",7.74107747181694,20.087887
"01039962800",13.0355893074269,383.550976
"01039962900",13.801044156689,818.780328
"01039963000",11.8417138429054,620.356768
"01041963400",141.523612065387,366.158176
"01041963500",126.595763231684,345.387846
"01041963600",140.521302512283,571.485369
"01041963700",249.344615537102,394.109667
"01041963800",64.148056116206,418.786094
"01041963900",126.380310655286,315.692456
"01043964100",7369.83145394797,226.099587
"01043964200",26457.9098988716,236.998345
"01043964300",42546.9119331079,138.827805
"01043964400",55899.7688685493,117.389171
"01043964500",36550.8435675394,332.186715
"01043964600",60534.6063476318,203.794559
"01043964700",176151.942004402,108.810915
"01043964800",387079.400293983,14.569375
"01043964900",163189.45837379,76.362578
"01043965000",2336588.44953807,36.034198
"01043965100",148620.518103126,83.711605
"01043965200",38528.8837645781,86.501494
"01043965300",13887.2188423554,215.503806
"01043965401",50854.0376155529,96.7320519999999
"01043965402",24756.6782272478,193.336668
"01043965500",16159.6738998025,300.025321
"01043965600",10207.6778635024,204.854856
"01043965700",6924.90208232277,308.744383
"01045020000",1513.03474846841,266.804038
"01045020100",673.305672007893,555.635319
"01045020200",1119.92586377485,378.195446
"01045020300",1449.55945625968,169.385335
"01045020400",892.869765726224,95.020263
"01045020500",988.871828400218,17.119472
"01045020700",1065.43365912056,18.625712
"01045020801",1663.37146715492,29.287632
"01045020802",1336.18707662358,55.386347
"01045021101",1776.84922038533,51.850053
"01045021102",2455.7135309865,35.120287
"01045021200",2170.2589242153,153.407546
"01045021300",7091.65630607034,226.201495
"01045021400",4881.31686981158,169.243442
"01047956100",863.992935194012,494.813977
"01047956201",163.031995940313,196.719537
"01047956202",113.305238808765,279.379346
"01047956300",286.69108570588,26.899677
"01047956400",393.431690603176,6.282926
"01047956500",552.063380296811,10.818218
"01047956600",319.947687053139,4.199247
"01047956701",222.234831890379,11.183091
"01047956702",217.158241798715,10.405349
"01047956800",295.282592959265,14.165927
"01047956900",141.820824688449,835.092147
"01047957000",133.920703080686,1389.517195
"01047957100",129.577110488454,317.811667
"01047957200",168.857547901883,54.858113
"01047957300",436.930332965165,270.947859
"01049960100",544.55881128274,309.236915
"01049960200",858.860251920454,174.242792
"01049960300",21950.5096207035,165.971897
"01049960400",7521.46528488389,209.375621
"01049960500",2475.86447929715,326.569983
"01049960600",1389.99956231006,326.894287
"01049960700",919.734669553891,231.070103
"01049960800",885.525823810354,316.879781
"01049960900",1691.92013621512,201.89182
"01049961000",931.52635262844,178.044422
"01049961100",2419.68841237169,51.798202
"01049961200",1328.57509923542,67.866263
"01049961300",965.630758967434,139.396783
"01049961400",488.690015136336,374.675614
"01051030100",208.934317883533,269.680665
"01051030200",121.62979405187,442.438828
"01051030300",0.89192300248872,252.109525
"01051030400",80.4619620061344,493.40824
"01051030500",62.7634575782441,254.382544
"01051030600",185.793575987167,205.235162
"01051030701",203.298895938658,144.066616
"01051030702",224.640264224467,165.70782
"01051030800",237.128067379739,88.929232
"01051030901",357.008648044157,41.41603
"01051030902",287.934082912805,44.385307
"01051031000",475.298360508266,36.006013
"01051031100",392.707545847106,16.345969
"01051031200",352.662779491675,84.359677
"01051031300",595.832016432365,55.231292
"01053969800",180.46722703768,1453.431782
"01053969900",910.704773435606,477.06054
"01053970100",167.566044926823,162.165665
"01053970200",513.092003249897,13.660022
"01053970300",175.193880666859,508.050687
"01053970400",593.264116288212,695.788875
"01053970500",275.214056800692,258.211337
"01053970600",46.2648937146233,133.167738
"01053970700",47.4308154739144,61.037495
"01055000200",2860.65380135319,21.888812
"01055000300",2906.08643766489,6.19118
"01055000400",2601.25719893476,33.688874
"01055000500",3068.97438175373,4.640507
"01055000600",3379.86310007048,3.583175
"01055000700",3109.98979790901,2.046721
"01055000800",3086.81477884683,2.905358
"01055000900",3501.43887455517,19.283131
"01055001000",3206.2902443804,2.498183
"01055001100",3612.43008891341,41.534135
"01055001200",3256.79573518914,9.463433
"01055001300",3220.91446633923,8.445832
"01055001600",3335.10890873227,18.23148
"01055001700",3159.67660676069,13.898612
"01055010100",1209.74374752957,49.609567
"01055010200",3611.29752209105,43.388644
"01055010300",2211.75809017984,165.478959
"01055010401",3869.94415981875,12.087247
"01055010402",4391.77710619963,134.404634
"01055010501",4915.5670660505,87.499114
"01055010502",3936.40496895339,89.076491
"01055010601",3870.20199395125,63.057075
"01055010602",4119.09798244828,256.558871
"01055010700",2005.31393751729,137.686186
"01055010800",557.609905100226,200.244117
"01055010900",490.325627166775,145.846646
"01055011001",510.772079574271,133.062634
"01055011002",111.956479691658,141.515302
"01055011100",192.649681393981,314.152983
"01055011200",3272.17513537143,3.76616
"01057020000",131.801038468654,474.915262
"01057020100",348.546528677811,562.011044
