"tract","puma"
"01001020100","02100"
"01001020200","02100"
"01001020300","02100"
"01001020400","02100"
"01001020500","02100"
"01001020600","02100"
"01001020700","02100"
"01001020801","02100"
"01001020802","02100"
"01001020900","02100"
"01001021000","02100"
"01001021100","02100"
"01003010100","02600"
"01003010200","02600"
"01003010300","02600"
"01003010400","02600"
"01003010500","02600"
"01003010600","02600"
"01003010701","02600"
"01003010703","02600"
"01003010704","02600"
"01003010705","02600"
"01003010800","02600"
"01003010903","02600"
"01003010904","02600"
"01003010905","02600"
"01003010906","02600"
"01003011000","02600"
"01003011101","02600"
"01003011102","02600"
"01003011201","02600"
"01003011202","02600"
"01003011300","02600"
"01003011401","02600"
"01003011403","02600"
"01003011405","02600"
"01003011406","02600"
"01003011407","02600"
"01003011408","02600"
"01003011501","02600"
"01003011502","02600"
"01003011601","02600"
"01003011602","02600"
"01003990000","02600"
"01005950100","02400"
"01005950200","02400"
"01005950300","02400"
"01005950400","02400"
"01005950500","02400"
"01005950600","02400"
"01005950700","02400"
"01005950800","02400"
"01005950900","02400"
"01007010001","01700"
"01007010002","01700"
"01007010003","01700"
"01007010004","01700"
"01009050101","00800"
"01009050102","00800"
"01009050200","00800"
"01009050300","00800"
"01009050400","00800"
"01009050500","00800"
"01009050601","00800"
"01009050602","00800"
"01009050700","00800"
"01011952100","02400"
"01011952200","02400"
"01011952500","02400"
"01013952700","02300"
"01013952800","02300"
"01013952900","02300"
"01013953000","02300"
"01013953100","02300"
"01013953200","02300"
"01013953300","02300"
"01013953400","02300"
"01013953500","02300"
"01015000200","01100"
"01015000300","01100"
"01015000400","01100"
"01015000500","01100"
"01015000600","01100"
"01015000700","01100"
"01015000800","01100"
"01015000900","01100"
"01015001000","01100"
"01015001100","01100"
"01015001201","01100"
"01015001202","01100"
"01015001300","01100"
"01015001400","01100"
"01015001500","01100"
"01015001600","01100"
"01015001700","01100"
"01015001800","01100"
"01015002000","01100"
"01015002101","01100"
"01015002102","01100"
"01015002103","01100"
"01015002200","01100"
"01015002300","01100"
"01015002400","01100"
"01015002501","01100"
"01015002502","01100"
"01015002600","01100"
"01015981901","01100"
"01015981902","01100"
"01015981903","01100"
"01017953800","01800"
"01017953900","01800"
"01017954000","01800"
"01017954200","01800"
"01017954300","01800"
"01017954400","01800"
"01017954500","01800"
