"year","sim_b","sim_o","sim_h"
1990,399632.831466176,222858.138577588,348258.421366656
1991,295183.807336753,166415.449181425,252679.147118947
1992,228067.495156382,132115.551613129,195273.86862065
1993,214073.445210282,122623.710931535,187812.525674705
1994,192324.908701992,109856.229577983,172367.798956806
1996,158187.790298397,88455.2588044483,140027.269812323
1997,135483.716562602,76610.3020509902,118548.080652093
1998,113255.676267926,63398.2433047022,98261.4062846813
1999,111994.501433983,57309.9191832362,93242.9337296306
2000,109539.75789476,60443.4322005143,97112.38957395
2001,94695.4256326245,52766.6911352641,84570.967719712
2002,81325.6415967412,43477.8354227084,72935.2388694137
2003,77319.631513542,40576.2858437849,66227.76306063
2005,69861.9196066045,34631.2594471719,60449.3464323812
2006,70295.3986329952,35379.7511599587,62236.8979805391
2007,73711.4055544525,34169.0840781401,62688.0833148692
2008,59368.6803962564,29587.7007501346,50730.7524170511
2009,39528.2188857925,19932.0418024751,33279.8079314665
2010,42717.6131059897,22475.9042802415,35573.4516265622
2011,37132.0480793815,20276.681244878,32678.6915127365
2012,36569.8778856689,20839.0724963821,32165.6580642581
2013,52302.4959399834,26342.0398046459,46812.3252387261
