year,white_sd,black_sd,asian_sd,native_sd,other_sd
1990,2361.962656,5407.681167,3815.446803,2749.604908,5188.44654
1991,2021.760987,5656.753779,2524.338066,1314.641554,2735.800887
1992,1933.365989,3766.753461,1324.044041,874.7260217,2929.631511
1993,1683.442914,3932.04865,1382.780905,952.7996062,2077.862135
1994,1271.9841,2956.333316,1533.487525,931.5240769,2952.910822
1996,1429.772393,2050.720588,1535.921476,669.4072635,1099.280748
1997,945.8689802,1210.263595,869.6599929,807.5479596,2273.045299
1998,872.9177493,1058.491979,663.0577966,500.475425,2068.725784
1999,681.0220424,1190.853989,741.1501526,624.8095042,1785.273907
2000,968.8771593,1447.418803,557.0584857,842.3556087,1200.067787
2001,898.1662331,789.5936968,636.3575652,665.0077075,1503.720222
2002,703.1813206,978.3411491,513.5040271,447.9029565,963.2163419
2003,605.8806185,741.6169196,383.1508611,489.4434932,869.2419266
2005,602.5048481,608.9294039,373.0233383,335.7535279,810.8315223
2006,528.785687,965.7478593,609.6967932,415.2009859,721.823049
2007,650.0558616,1040.526118,682.387054,470.5621755,660.1542429
2008,342.8900655,920.0605605,396.9719716,318.3521929,582.4887308
2009,322.6257255,401.1497513,295.1065364,232.3218318,599.7219063
2010,282.7651807,641.9905418,280.5217074,288.5755857,633.693039
