Id,concentration
1001,2000.48
1003,2966.09
1005,562.31
1007,4180.23
1009,462.05
1011,1000.76
1013,189.38
1015,3570.53
1017,343.35
1019,6004.09
1021,423.58
1023,1185.77
1025,723.52
1027,183.23
1029,1086.94
1031,1086.46
1033,1676.79
1035,1190.23
1037,253.54
1039,52.02
1041,1409.74
1043,893.31
1045,4244.80
1047,195.85
1049,1058.66
1051,1886.09
1053,2303.45
1055,2377.79
1057,1664.22
1059,539.90
1061,2663.39
1063,4246.03
1065,7353.07
1067,2403.12
1069,19625.12
1071,470.36
1073,11678.52
1075,1481.73
1077,2950.27
1079,10310.20
1081,819.77
1083,16867.61
1085,3676.26
1087,406.96
1089,2471.94
1091,5887.74
1093,2705.13
1095,3734.83
1097,8504.31
1099,3181.60
1101,11303.05
1103,27635.14
1105,550.69
1107,901.55
1109,6290.44
1111,167.06
1113,564.93
1115,1284.17
1117,2699.72
1119,2895.96
1121,1931.46
1123,106.81
1125,27190.25
1127,1330.76
1129,460.10
1131,537.17
1133,436.31
4001,0.05
4003,2.00
4005,42.53
4007,36809.49
4009,4850.20
4012,19.91
4013,1804.17
4015,44.69
4017,0.13
4019,615.48
4021,4851.63
4023,18.56
4025,125.49
4027,3.99
5001,357.59
5003,1160.04
5005,371.12
5007,20028.63
5009,2.55
5011,311.87
5013,830.33
5015,9618.41
5017,73.50
5019,888.87
5021,121.82
5023,113.54
5025,350.38
5027,2084.28
5029,993.75
5031,114.32
5033,299.44
5035,5044.07
5037,927.20
5039,589.16
5041,3701.61
5043,655.84
5045,4038.17
5047,699.64
5049,39.86
5051,30433.34
5053,9678.04
5055,31.23
5057,363.60
5059,11719.96
5061,566.11
5063,245.97
5065,37.65
5067,138.93
5069,1563.69
5071,1914.39
5073,166.99
5075,29.12
5077,95.74
5079,737.16
5081,1773.05
5083,306.58
5085,1613.92
5087,1976.67
5089,58.90
5091,251.97
5093,835.46
5095,520.52
5097,746.60
5099,161.78
5101,100.14
5103,1063.04
5105,1163.45
5107,12.58
5109,336.94
5111,1089.92
5113,371.77
5115,770.86
5117,5431.81
5119,4712.88
5121,6.54
5123,364.90
5125,6099.62
5127,12.90
5129,8.17
5131,227.67
5133,408.45
5135,48.36
5137,23.67
5139,14204.86
5141,161.21
5143,10344.80
5145,586.63
5147,296.67
5149,187.82
6001,6172.68
6003,2.37
6005,764.19
6007,496.56
6009,233.97
6011,273.56
6013,1725.96
6015,22.93
6017,207.59
6019,83.88
6021,1667.93
6023,267.97
6025,48.85
6027,76.98
6029,23.74
6031,2.80
6033,56.29
6035,924.56
6037,2120.10
6039,237.64
6041,228.93
6043,39.01
6045,323.05
6047,59.52
6049,213.84
6051,0.04
6053,85.41
6055,202.13
6057,2151.38
6059,59888.90
6061,1034.63
6063,1665.01
6065,6480.72
6067,466.83
6069,23.99
6071,2941.79
6073,1449.15
6075,1725.82
6077,3036.90
6079,1.82
6081,1972.62
6083,2.81
6085,889.67
6087,164.41
6089,27.48
6091,9562.85
6093,410.98
6095,641.57
6097,230.47
6099,286.43
6101,118.31
6103,62.28
6105,10.43
6107,4.44
6109,15.95
6111,161.48
6113,50.15
6115,143.45
8001,1341.35
8003,0.05
8005,925.26
8011,0.03
8013,242.24
8014,1192.99
8019,48.76
8021,0.04
8023,0.19
8025,16.21
8027,4.31
8029,201.46
8031,2576.12
8035,210.49
8039,81.75
8041,1650.63
8043,67.62
8045,160.54
8047,121.31
8049,0.13
8051,4.71
8055,10.24
8059,679.35
8061,0.03
8067,1.56
8069,1.74
8071,0.04
8073,0.63
8075,2.97
8077,2710.98
8085,32.39
8089,10.26
8091,8.76
8093,22.50
8099,0.16
8101,132.47
8119,341.30
8123,93.96
9001,7349.28
9003,90978.27
9005,14847.08
9007,21187.93
9009,27686.99
9011,2815.11
9013,26382.10
9015,3407.31
10001,2791.91
10003,5616.79
10005,6089.29
11001,98.37
12001,1625.29
12003,8.22
12005,1041.92
12007,262.50
12009,277.58
12011,639.30
12013,199.88
12015,46.56
12017,1.81
12019,637.12
12021,10.97
12023,57.96
12027,0.15
12029,53.86
12031,193.63
12033,960.01
12035,2483.00
12037,24.80
12039,67.96
12041,266.08
12043,390.32
12045,242.01
12047,215.25
12049,99.49
12051,388.82
12053,2.21
12055,69.27
12057,5702.54
12059,616.90
12061,0.44
12063,2408.58
12065,104.70
12067,374.86
12069,111.64
12071,351.69
12073,7.34
12075,66.07
12077,191.76
12079,518.98
12081,1496.45
12083,268.97
12085,457.68
12086,693.40
12087,0.01
12089,776.49
12091,92.67
12093,110.47
12095,805.17
12097,226.85
12099,754.29
12101,884.29
12103,3951.34
12105,1362.84
12107,6238.83
12109,511.05
12111,34.05
12113,1847.44
12115,163.36
12117,337.10
12119,6.96
12121,106.71
12123,1532.75
12125,101.48
12127,4894.24
12129,13.16
12131,10.15
12133,157.77
13001,312.52
13003,3454.25
13005,1356.36
13007,28.76
13009,1954.94
13011,1577.54
13013,4701.21
13015,1581.85
13017,1385.47
13019,1956.35
13021,2069.23
13023,203.39
13025,195.82
13027,910.51
13029,572.57
13031,76.50
13033,907.42
13035,615.08
13037,19.16
13039,643.50
13043,2.40
13045,11224.87
13047,6139.98
13049,9.18
13051,755.75
13053,460.31
13055,1006.98
13057,5761.95
13059,46423.13
13061,58.10
13063,1698.92
13065,413.09
13067,1978.29
13069,11337.01
13071,223.25
13073,2117.98
13075,1270.06
13077,3413.07
13079,510.10
13081,904.53
13083,2002.37
13085,2986.05
13087,65.63
13089,7668.87
13091,14.95
13093,2430.53
13095,317.83
13097,2860.04
13099,789.87
13101,507.55
13103,562.40
13105,621.23
13107,3.19
13109,48.06
13111,999.89
13113,1433.12
13115,847.21
13117,2701.97
13119,1408.09
13121,3672.61
13123,1007.46
13125,260.46
13127,1084.64
13129,1451.75
13131,1.99
13133,498.44
13135,3916.91
13137,999.38
13139,1170.19
13141,195.33
13143,2415.66
13145,358.53
13147,937.51
13149,475.87
13151,1255.95
13153,660.82
13155,1721.23
13157,3462.80
13159,1634.04
13161,1324.62
13163,360.79
13165,41.60
13167,7.51
13169,691.73
13171,179.92
13173,1437.10
13175,25.67
13177,313.20
13179,1488.27
13181,236.68
13183,2366.76
13185,4524.70
13187,862.35
13189,1349.43
13191,729.30
13193,390.96
13195,3625.70
13197,179.09
13199,111.57
13201,158.38
13205,41.44
13207,574.18
13209,6.65
13211,1461.87
13213,2743.49
13215,1531.24
13217,8168.07
13219,2874.45
13221,3442.78
13223,969.69
13225,399.67
13227,3106.24
13229,159.43
13231,59.72
13233,1046.25
13235,410.49
13237,575.79
13239,107.95
13241,286.52
13243,25.46
13245,10293.09
13247,2501.19
13249,146.58
13251,212.73
13253,487.21
13255,319.02
13257,5696.50
13259,270.02
13261,492.60
13263,110.87
13265,162.52
13267,212.35
