"block","concentration","area"
"01001020100",1554.4508394027,15.006858
"01001020200",1815.06573569949,5.100122
"01001020300",1980.53416606201,8.166821
"01001020400",2175.77705024634,9.752457
"01001020500",2306.07420593897,17.446002
"01001020600",4528.49887641526,12.316154
"01001020700",5737.11132712077,35.345476
"01001020801",4452.13047475852,201.792332
"01001020802",908.701065118814,291.860807
"01001020900",446.9266861764,446.997337
"01001021000",194.335276176823,592.048979
"01001021100",759.975918827925,750.020289
"01003010100",1728.99147730196,1537.989052
"01003010200",1498.73362352214,338.515888
"01003010300",23724.123592821,559.219831
"01003010400",6460.37642791565,1129.51208
"01003010500",2887.76426997525,26.877714
"01003010600",10174.5910472372,28.329436
"01003010701",58143.7616621036,247.952765
"01003010703",34539.1720356662,220.891316
"01003010704",41950.7195497722,13.135539
"01003010705",63418.8946964602,66.661614
"01003010800",55547.8720333289,33.508435
"01003010903",28467.314555933,85.138715
"01003010904",6851.72212607491,426.361447
"01003010905",27991.868958016,108.678295
"01003010906",21416.9165953865,60.290128
"01003011000",20427.8298563363,200.008153
"01003011101",41069.6339841363,51.11612
"01003011102",40530.2965840564,70.37275
"01003011201",53957.6031778239,20.779962
"01003011202",59190.4557995573,24.478659
"01003011300",42410.0692749693,119.405931
"01003011401",25333.591015642,269.573488
"01003011403",3293.99062066147,143.732526
"01003011405",1425.1031120464,54.742785
"01003011406",1069.6939324321,65.630717
"01003011407",10758.5443614802,87.38677
"01003011408",35413.2022167004,77.109555
"01003011501",70516.2289417192,58.987209
"01003011502",13167.003539205,79.80855
"01003011601",3356.81736285368,376.000918
"01003011602",1359.57717929767,177.98989
"01003990000",45262.2761681925,1242.729101
"01005950100",324.703403348387,783.906054
"01005950200",938.227124277361,789.497335
"01005950300",822.189999268338,538.507479
"01005950400",576.94832297953,523.85878
"01005950500",323.609652776334,523.842176
"01005950600",2380.84382129243,156.67882
"01005950700",1434.40597915991,194.049352
"01005950800",323.832449450694,22.879059
"01005950900",267.863974397652,37.403692
"01007010001",1675.60992706923,361.877044
"01007010002",3190.9885749688,277.53622
"01007010003",831.191982983963,1060.472587
"01007010004",687.494978446435,771.946699
"01009050101",1290.29777190726,339.426985
"01009050102",1667.9380465914,282.895441
"01009050200",1286.99996521717,179.435225
"01009050300",1201.67399908733,289.670569
"01009050400",949.706727098384,376.064635
"01009050500",3898.33762473057,381.380281
"01009050601",1492.22058280542,128.321
"01009050602",1182.16727299219,279.165229
"01009050700",1027.91134224665,312.021697
"01011952100",317.506284288893,653.440469000001
"01011952200",472.386456291236,610.544043
"01011952500",1263.34649153698,1203.796674
"01013952700",273.546109241336,204.140796
"01013952800",0.00136505926377919,5.264534
"01013952900",0.00234689550051193,87.572082
"01013953000",37.4138472718949,673.297397
"01013953100",0.0775228897500171,49.546795
"01013953200",242.582622315048,731.778262
"01013953300",17.5865238847467,537.125496
"01013953400",77.3538123514398,378.681933
"01013953500",2.1283473938005,403.320895
"01015000200",4653.15936388371,10.361804
"01015000300",6932.51435444977,4.06458
"01015000400",14360.9444041387,15.460867
"01015000500",15122.9387435135,3.571412
"01015000600",9591.35828331819,10.356742
"01015000700",2839.11131592108,69.96175
"01015000800",6092.27264306713,5.555596
"01015000900",4814.13348730586,18.503403
