"block","concentration","area"
"01001020100",455.499559704594,15.006858
"01001020200",548.051537557394,5.100122
"01001020300",593.542884973316,8.166821
"01001020400",622.131831248978,9.752457
"01001020500",643.046181817267,17.446002
"01001020600",1218.12164710214,12.316154
"01001020700",1563.50151326478,35.345476
"01001020801",1072.29746728709,201.792332
"01001020802",281.723797119654,291.860807
"01001020900",183.323083771504,446.997337
"01001021000",193.087166983384,592.048979
"01001021100",466.611291734889,750.020289
"01003010100",6621.43906180638,1537.989052
"01003010200",2740.46275193116,338.515888
"01003010300",5615.71447837182,559.219831
"01003010400",4232.13577698188,1129.51208
"01003010500",4364.73785085141,26.877714
"01003010600",5567.90806021222,28.329436
"01003010701",6490.56512241554,247.952765
"01003010703",5285.56592569029,220.891316
"01003010704",5250.81240157469,13.135539
"01003010705",6179.97230463273,66.661614
"01003010800",6400.06531759958,33.508435
"01003010903",7019.65353244064,85.138715
"01003010904",7459.24116343229,426.361447
"01003010905",10830.9576567186,108.678295
"01003010906",11909.0577190579,60.290128
"01003011000",20069.7613102292,200.008153
"01003011101",6940.25023463222,51.11612
"01003011102",7270.37389027076,70.37275
"01003011201",6868.10206970073,20.779962
"01003011202",7066.61656727509,24.478659
"01003011300",6315.21426058774,119.405931
"01003011401",15888.1389316753,269.573488
"01003011403",19063.9266165925,143.732526
"01003011405",10035.3404231934,54.742785
"01003011406",12567.7360643537,65.630717
"01003011407",5776.90109748793,87.38677
"01003011408",5055.870197838,77.109555
"01003011501",95760.2563781309,58.987209
"01003011502",53607.7824414281,79.80855
"01003011601",13570.5033759503,376.000918
"01003011602",6296.57034091305,177.98989
"01003990000",6759.12782916376,1242.729101
"01005950100",105.120919623895,783.906054
"01005950200",42.8475610188358,789.497335
"01005950300",66.2428664695088,538.507479
"01005950400",59.4435547393575,523.85878
"01005950500",25.8557048346942,523.842176
"01005950600",69.1853652623789,156.67882
"01005950700",66.3251145637825,194.049352
"01005950800",96.2387153819942,22.879059
"01005950900",115.975050563694,37.403692
"01007010001",864.013729797616,361.877044
"01007010002",1392.34695686915,277.53622
"01007010003",259.038944645669,1060.472587
"01007010004",107.566821248079,771.946699
"01009050101",485.844929843226,339.426985
"01009050102",502.918031808501,282.895441
"01009050200",707.411577104132,179.435225
"01009050300",423.566589152996,289.670569
"01009050400",494.00948394064,376.064635
"01009050500",1209.83196977879,381.380281
"01009050601",806.1326065907,128.321
"01009050602",993.276438901164,279.165229
"01009050700",740.522292946822,312.021697
"01011952100",76.8161200626756,653.440469000001
"01011952200",65.0465937411378,610.544043
"01011952500",121.92848627265,1203.796674
"01013952700",8.81804193495824,204.140796
"01013952800",0.17253826916457,5.264534
"01013952900",0.122073236518943,87.572082
"01013953000",2.06051458490851,673.297397
"01013953100",0.196883173582765,49.546795
"01013953200",22.0048525063118,731.778262
"01013953300",5.76733775741853,537.125496
"01013953400",23.7654188288669,378.681933
"01013953500",1.42455714728046,403.320895
"01015000200",90216.0898814016,10.361804
"01015000300",123700.352988284,4.06458
"01015000400",176983.168463895,15.460867
"01015000500",158339.261637948,3.571412
"01015000600",85886.2171448747,10.356742
"01015000700",69240.9273590118,69.96175
"01015000800",74199.7658530105,5.555596
"01015000900",56326.1068338505,18.503403
"01015001000",60002.0264506618,25.436901
"01015001100",38969.8456762773,76.59036
"01015001201",350134.819393787,11.16722
"01015001202",169492.931156286,35.933564
"01015001300",200968.949077385,8.878182
"01015001400",481287.096100308,32.447469
"01015001500",174982.854811231,83.498574
"01015001600",82598.9446903085,21.593195
"01015001700",48654.4069097375,28.614235
"01015001800",33630.223190819,63.431111
"01015002000",28226.9997755516,368.381549
"01015002101",12501.1628416963,20.902396
"01015002102",16895.0073117338,31.455515
"01015002103",25127.8097752198,38.58352
"01015002200",15192.4438794663,134.761442
"01015002300",8894.35440478718,135.670426
"01015002400",10460.5241976713,190.517163
"01015002501",12104.014074036,149.433594
"01015002502",5666.8383883354,251.519218
"01015002600",13625.68392685,281.290753
"01015981901",649075.917645092,96.3959219999999
"01015981902",27785.1163387034,137.703439
"01015981903",49964.8573741912,54.991423
"01017953800",7.6005915696733,803.798881
"01017953900",33.3728266445077,153.478117
"01017954000",8.77434100965765,1034.28653
"01017954200",29.7544186786695,95.948821
"01017954300",37.9526428347952,202.845048
"01017954400",43.486171170955,6.717544
"01017954500",38.3567817308104,10.591166
"01017954600",49.1475577279199,14.766822
"01017954700",52.7472445988508,58.382289
"01019955701",467.841602353059,206.820016
"01019955702",488.746371093568,550.612456
"01019955800",410.980848176546,406.898653
"01019955900",2022.51397468001,472.421034
"01019956000",397.661354270948,117.795247
"01019956100",513.914735853358,613.893594
"01021060101",73.4783896029521,85.518023
"01021060102",17.6782024775914,98.555958
"01021060200",26.9282839314194,155.319724
"01021060300",146.10493191021,427.99197
"01021060401",38.9761734617486,139.656986
"01021060402",289.861564600501,374.33179
"01021060500",61.1788511108372,689.681685
"01021060600",92.661183174184,397.972382
"01021060700",106.407767412305,397.427361
"01023956700",273.621915468459,886.542637
"01023956800",74.2294534933342,1158.092682
"01023956900",24.7662457278226,863.58751
"01023957000",12.7865522187593,705.917797
"01025957500",1394.40356210978,379.632449
"01025957601",223.441720452289,746.448025
"01025957602",911.008833470131,294.930898
"01025957700",70.6092704296427,575.802286
"01025957800",491.397757485114,1276.619367
"01025957901",522.875389566341,577.830724
"01025957902",2878.72889841371,168.231287
"01025958001",996.87978256268,216.088692
"01025958002",4432.65655737303,709.014506
"01027958900",3317.46135766916,784.890348000001
"01027959000",2551.79678884756,275.457421
"01027959100",489.15550151339,585.033646
"01027959200",936.96256333753,746.833843
"01029959500",9799.83779812903,749.90559
"01029959600",13922.6255128414,373.02102
"01029959700",5750.50378600904,639.386268
"01029959800",1762.70189703807,452.318684
"01031010100",94.2722940851638,370.445336
"01031010200",123.498618717072,317.62448
"01031010300",76.675612507195,446.039501
"01031010400",52.794836202003,321.31812
"01031010500",48.2729856638695,307.599787
"01031010600",3.18847380372324,196.124834
"01031010700",2.18964013297389,326.686358
"01031010800",3.44087984887163,209.46093
"01031010900",3.13014831456555,30.878733
"01031011000",3.10487073280389,43.766656
"01031011100",3.49251716386533,5.019744
"01031011201",22.1996291247377,62.251939
"01031011202",3.89092897961953,19.097475
"01031011300",3.58606264599877,29.970904
"01033020100",1278.83836368891,6.936114
"01033020200",1089.78110205825,3.417819
"01033020300",1054.62007956997,7.985708
"01033020400",928.611762302834,9.002919
"01033020500",852.539451797465,36.919989
"01033020600",903.525089591492,15.06732
"01033020701",2561.78481523913,180.224555
"01033020703",1790.83882055208,12.407505
"01033020704",1174.2787722009,11.090808
"01033020801",8928.43024245338,213.020257
"01033020802",5599.56925245235,329.70266
"01033020901",630.15969110431,203.545609
"01033020902",1204.06273333846,406.523805
"01033021000",2607.78353946808,1020.046215
"01035960200",142.44141031851,860.699487999999
"01035960300",737.212717792592,597.927875
"01035960400",242.49926380082,736.583933
"01035960500",164.05527926466,139.167414
"01035960600",32.6922291436002,1031.780156
"01037961000",15.0026305154767,385.527585
"01037961100",17.5257479134765,1231.965343
"01037961200",24.4856319439486,1012.951832
"01039961600",13.6010139311537,564.253269
"01039961700",18.6515936413799,774.850625
"01039961800",56.2442005477639,67.502886
"01039961900",46.2691359483958,63.877236
"01039962000",30.8264622631606,77.003821
"01039962100",388.520786947067,23.779733
"01039962300",14.6863674508468,429.190587
"01039962400",11.1880187763647,239.500324
"01039962500",4.50526334658042,19.235431
"01039962600",6.16917540394366,18.439337
"01039962700",6.89816126821452,20.087887
"01039962800",9.69619022799273,383.550976
"01039962900",10.4037815213174,818.780328
"01039963000",8.70259551242777,620.356768
"01041963400",125.944747252156,366.158176
"01041963500",105.958644416818,345.387846
"01041963600",122.672401585803,571.485369
"01041963700",168.844090903138,394.109667
"01041963800",53.5152423793666,418.786094
"01041963900",73.1594962367221,315.692456
"01043964100",614.274843262689,226.099587
"01043964200",2371.89483979813,236.998345
"01043964300",6122.53919938679,138.827805
"01043964400",7469.81496758773,117.389171
"01043964500",4776.32214639512,332.186715
"01043964600",4875.13458096135,203.794559
"01043964700",13779.984023982,108.810915
"01043964800",29705.392750078,14.569375
"01043964900",12764.6807918577,76.362578
"01043965000",178942.177766687,36.034198
"01043965100",11526.5603000132,83.711605
"01043965200",3062.48161965558,86.501494
"01043965300",1132.64501931569,215.503806
"01043965401",4150.45163640409,96.7320519999999
"01043965402",2341.16526990718,193.336668
"01043965500",1353.76901096117,300.025321
"01043965600",828.049707546455,204.854856
"01043965700",644.429560736896,308.744383
"01045020000",33.3605609878455,266.804038
"01045020100",78.0854633888951,555.635319
"01045020200",11.9096927578425,378.195446
"01045020300",4.53871003051404,169.385335
"01045020400",69.0288656555495,95.020263
"01045020500",8.62791950055728,17.119472
"01045020700",28.1550851387597,18.625712
"01045020801",4.60772438706987,29.287632
"01045020802",16.5675943585197,55.386347
"01045021101",4.32748215228122,51.850053
"01045021102",5.69515171308276,35.120287
"01045021200",5.22026976059449,153.407546
"01045021300",30.2103430870336,226.201495
"01045021400",54.0796861070329,169.243442
"01047956100",784.139853838277,494.813977
"01047956201",129.979373909968,196.719537
"01047956202",92.8779013167873,279.379346
"01047956300",234.7014347791,26.899677
"01047956400",325.654453738832,6.282926
"01047956500",453.97139068916,10.818218
"01047956600",263.555480915173,4.199247
"01047956701",181.605879066739,11.183091
"01047956702",177.576271169972,10.405349
"01047956800",242.148719630873,14.165927
"01047956900",114.976859573315,835.092147
"01047957000",108.205406683705,1389.517195
"01047957100",101.218508927191,317.811667
"01047957200",123.614267979818,54.858113
"01047957300",358.09683803347,270.947859
"01049960100",272.422295175503,309.236915
"01049960200",589.497883148229,174.242792
"01049960300",15234.118974799,165.971897
"01049960400",5220.98045755923,209.375621
"01049960500",1720.61094854499,326.569983
"01049960600",969.241814567485,326.894287
"01049960700",646.338402691005,231.070103
"01049960800",622.620117048386,316.879781
"01049960900",1191.02210031561,201.89182
"01049961000",664.552017158627,178.044422
"01049961100",1698.5108924419,51.798202
"01049961200",951.521787250434,67.866263
"01049961300",695.711857912314,139.396783
"01049961400",329.851322777268,374.675614
"01051030100",157.651393417494,269.680665
"01051030200",99.9002950565942,442.438828
"01051030300",4.03263985281774,252.109525
"01051030400",54.0325688362589,493.40824
"01051030500",49.7954552190933,254.382544
"01051030600",128.681523898554,205.235162
"01051030701",123.760433041366,144.066616
"01051030702",147.375706412057,165.70782
"01051030800",167.010654248179,88.929232
"01051030901",275.205201150558,41.41603
"01051030902",212.014664172927,44.385307
"01051031000",373.20732433383,36.006013
"01051031100",293.050958462003,16.345969
"01051031200",253.190781710124,84.359677
"01051031300",465.227743848374,55.231292
"01053969800",119.929383837272,1453.431782
"01053969900",623.507824191181,477.06054
"01053970100",190.524363834961,162.165665
"01053970200",340.141517958304,13.660022
"01053970300",157.677008182206,508.050687
"01053970400",1045.88782196156,695.788875
"01053970500",567.886446625463,258.211337
"01053970600",39.4905888292257,133.167738
"01053970700",35.647806251497,61.037495
"01055000200",2072.73009852182,21.888812
"01055000300",1943.15689045957,6.19118
