1,12,13,47,28,,,,
2,,,,,,,,
4,6,32,49,8,35,,,
5,29,47,28,22,48,40,,
6,41,32,4,,,,,
8,56,31,20,40,35,4,49,
9,36,25,44,,,,,
10,34,24,42,,,,,
24,51,,,,,,,
12,13,1,,,,,,
13,1,12,45,37,47,,,
15,,,,,,,,
16,53,41,32,49,56,30,,
17,55,18,21,29,19,,,
18,17,26,39,21,,,,
19,27,55,17,29,31,46,,
20,31,29,40,8,,,,
21,29,17,18,39,54,51,47,
22,48,5,28,,,,,
23,33,,,,,,,
24,42,10,51,54,11,,,
25,50,33,44,9,36,,,
26,18,39,55,,,,,
27,38,46,19,55,,,,
28,22,5,47,1,,,,
29,19,17,21,47,5,40,20,31
30,16,56,46,38,,,,
31,46,19,29,20,8,56,,
32,41,16,49,4,6,,,
33,50,25,23,,,,,
34,10,36,42,,,,,
35,4,49,8,40,48,,,
36,50,25,9,34,42,,,
37,51,47,13,45,,,,
38,30,46,27,,,,,
39,26,18,21,54,42,,,
40,20,29,5,48,35,8,,
41,53,16,32,6,,,,
42,36,34,10,24,54,39,,
44,9,25,,,,,,
45,37,13,,,,,,
46,38,30,56,31,19,27,,
47,21,51,37,13,1,28,5,29
48,35,40,5,22,,,,
49,16,56,8,35,4,32,,
50,36,25,33,,,,,
51,54,24,37,47,21,11,,
53,41,16,,,,,,
54,39,42,24,51,21,,,
55,26,17,19,27,,,,
56,30,46,31,8,49,16,,
